,file,patient,location,MSE,NMSE,SSIM,FROB,NUC,LR_MSE,LR_NMSE,LR_SSIM,LR_FROB,LR_NUC
0,"0131_[46833,16191]_part_4_1_.tif",0131,"[46833,16191]",0.0013491733481529355,0.03862605314367547,0.8827715873032181,18.13227653503418,336.4941711425781,0.0005257656441927599,0.024136850931547382,0.9525962008617229,12.736133575439453,195.4441375732422
1,"0131_[38831,10341]_part_4_2_.tif",0131,"[38831,10341]",0.0009558768750692668,0.03189797791618146,0.8856883927370252,16.003488540649414,304.84722900390625,0.00036433490615449526,0.0197051042173923,0.9547028450895807,10.697176933288574,176.1375274658203
2,"0131_[50072,7868]_part_3_2_.tif",0131,"[50072,7868]",0.0024416543335943623,0.05244899621613864,0.8380232342364217,24.689422607421875,467.5079040527344,0.0008307697201370883,0.0306513640323772,0.9396478469888591,16.224607467651367,238.366943359375
3,"0131_[40734,12991]_part_2_1_.tif",0131,"[40734,12991]",0.00044951478340535673,0.022492713707142068,0.9484341119409057,11.928030967712402,203.913330078125,0.0004405764192131135,0.022277092861030013,0.9552584353568706,11.854830741882324,184.63853454589844
4,"0131_[38831,10341]_part_3_1_.tif",0131,"[38831,10341]",0.002034123234524963,0.051302583299609544,0.8599822602907472,23.6875,435.595947265625,0.001116366144166778,0.03807754383529948,0.9261227444986527,18.91840171813965,272.0986328125
5,"0131_[46800,15428]_part_1_2_.tif",0131,"[46800,15428]",0.0030985123937390963,0.06077698015302384,0.8025815203672256,28.234176635742188,545.2097778320312,0.0011607787026893383,0.03729005506266493,0.9188774683524322,18.717031478881836,287.9950256347656
6,"0131_[42912,16664]_part_3_2_.tif",0131,"[42912,16664]",0.001451751334624556,0.04104392260586404,0.8737868511154924,20.202911376953125,370.93701171875,0.0009122415561511164,0.03257486911210831,0.9275256981230934,17.280855178833008,266.714111328125
7,"0131_[46589,13751]_part_3_1_.tif",0131,"[46589,13751]",0.0009861451502339977,0.03305032564304686,0.8859021663626389,17.441560745239258,327.216552734375,0.0006345465465933967,0.026532154398180834,0.9418725278797044,14.470863342285156,225.85194396972656
8,"0131_[40896,13825]_part_4_2_.tif",0131,"[40896,13825]",0.001637243315572545,0.043043443218680415,0.848940226528903,19.23102569580078,368.3414001464844,0.0004989238147703897,0.02378610680386149,0.9438655194822122,12.53841781616211,206.1047821044922
9,"0131_[49577,17995]_part_1_2_.tif",0131,"[49577,17995]",0.0012540597641889706,0.03929075798181085,0.8605809744024823,20.370073318481445,383.0054626464844,0.0006674117921541883,0.028693655003193923,0.9367976006273148,14.970298767089844,226.8117218017578
10,"0131_[45930,8132]_part_2_2_.tif",0131,"[45930,8132]",0.0013900669369094744,0.0397036622479327,0.8705048253895207,19.37208366394043,357.279052734375,0.000666498697971158,0.027518643827046007,0.9373485824851507,14.509429931640625,228.47059631347656
11,"0131_[48485,17537]_part_3_1_.tif",0131,"[48485,17537]",0.002901073385730477,0.06077127676057282,0.7698475823441804,30.069717407226562,577.2582397460938,0.0010787056418553565,0.03714092192529158,0.9142030324994966,19.070966720581055,290.3772277832031
12,"0131_[42051,17060]_part_1_1_.tif",0131,"[42051,17060]",0.0007504090825629345,0.028800022460391712,0.9053886151257649,14.81843090057373,274.8323974609375,0.0005336262711714727,0.024299583555266107,0.9396777891311817,13.242541313171387,215.73744201660156
13,"0131_[49577,17995]_part_2_2_.tif",0131,"[49577,17995]",0.0014204297227217325,0.04261366575558517,0.8723348243401103,21.392333984375,392.4087829589844,0.0009687304760351484,0.03523958466659258,0.9288091436547377,17.524974822998047,260.9223937988281
14,"0131_[38744,8571]_part_4_1_.tif",0131,"[38744,8571]",0.0005492075245556549,0.024557274957256844,0.9358948117063663,13.598408699035645,243.158203125,0.0005265124148762564,0.024054704383667514,0.9524583077661156,13.312638282775879,208.0688934326172
15,"0131_[48866,16300]_part_2_2_.tif",0131,"[48866,16300]",0.0005898535721068855,0.025303790672205978,0.9322965706992696,13.44225025177002,240.4486083984375,0.0005010416732807364,0.023332557115038347,0.949006435154136,12.797114372253418,203.0370330810547
16,"0131_[47891,9800]_part_4_2_.tif",0131,"[47891,9800]",0.003603419851812315,0.06921370790430427,0.7409532761762251,33.562225341796875,640.8104248046875,0.001328678739199449,0.04214968438647571,0.8997041211230793,20.1319522857666,304.8551940917969
17,"0131_[42912,16664]_part_1_2_.tif",0131,"[42912,16664]",0.0009248409926942295,0.031688237468213455,0.8921331314406894,15.806183815002441,294.48150634765625,0.0005342901873369147,0.024101587187116153,0.9449645856385426,13.215996742248535,210.8710174560547
18,"0131_[46800,15428]_part_1_1_.tif",0131,"[46800,15428]",0.0009582010038405232,0.03329565456698596,0.9111531049842799,17.71806526184082,311.5525817871094,0.0008447423917944317,0.03128888358767481,0.9334704808677711,16.838964462280273,258.60040283203125
19,"0131_[40280,14805]_part_2_2_.tif",0131,"[40280,14805]",0.0007733194503511063,0.030699037741216992,0.9300787970989806,15.654690742492676,265.3788757324219,0.0007391002046318909,0.030036998618510554,0.9421795625708148,15.337725639343262,229.4221954345703
