,file,patient,location,MAE,MSE,NMSE,SSIM,FROB,PSNR,MR_MAE,MR_MSE,MR_NMSE,MR_SSIM,MR_FROB,MR_PSNR
0,"0131_[38744,8571]_part_1_2_.tif",0131,"[38744,8571]",185.28314354480995,185.28297981327682,0.05738731507459522,0.9558691884434113,26.57597541809082,25.45244847280054,78.36932363244652,78.36932363244652,0.03779434697937123,0.9852750179734874,17.54908561706543,29.189341771665756
1,"0131_[46833,16191]_part_3_2_.tif",0131,"[46833,16191]",333.4530487910234,333.45277772606164,0.07685602319797431,0.9178865685046343,41.39180374145508,22.900460062584898,188.63147763923268,188.63147763923268,0.05857869543569692,0.9824139923992382,31.232847213745117,25.374661771634408
2,"0131_[40734,12991]_part_3_1_.tif",0131,"[40734,12991]",0.002531364013777677,164.60209707342273,0.05394015979364882,0.9761768802901779,28.59316062927246,25.966451190716583,51.93480382373726,51.93480382373726,0.030911341534971524,0.9891233569000941,16.21955108642578,30.976219041054495
3,"0131_[48485,17537]_part_4_2_.tif",0131,"[48485,17537]",255.77531589471323,255.77479044310158,0.0657214509715738,0.9530609720513045,34.11591720581055,24.052226147072222,154.78295280541676,154.78295280541676,0.051742893325994466,0.9852008528510628,25.6715087890625,26.233572588748867
4,"0131_[41114,18347]_part_2_2_.tif",0131,"[41114,18347]",168.86076162407718,168.86076162407718,0.05403678277417792,0.9742068982097449,28.6975040435791,25.855516906342498,29.361064335606994,29.361064335606994,0.02303657880102836,0.9901314687588814,11.94287109375,33.453084166354735
5,"0131_[40896,13825]_part_1_2_.tif",0131,"[40896,13825]",313.222775871105,313.222775871105,0.07415948378952723,0.907659056974849,39.74714660644531,23.172270233852394,80.05783207438556,80.05783207438556,0.038689114496265324,0.9815656654324797,20.2204647064209,29.09676418107726
6,"0131_[39813,12991]_part_2_1_.tif",0131,"[39813,12991]",321.0816977140182,321.0809993590539,0.07343682797175156,0.9520093565566824,39.94797897338867,23.064658038240236,180.21378984621148,180.21378984621148,0.05577433839319237,0.9852240317182398,30.226715087890625,25.572924488037
7,"0131_[45930,8132]_part_1_2_.tif",0131,"[45930,8132]",283.541456705239,283.54090774722505,0.07060530897043023,0.9132321895623705,38.29641342163086,23.604646104570257,135.46510881722892,135.46510881722892,0.04947184719148416,0.9765417342983888,25.88094139099121,26.812528310046222
8,"0131_[39813,12991]_part_3_1_.tif",0131,"[39813,12991]",191.27051039663903,191.27051039663903,0.057264696569075436,0.9520178727042025,30.32364845275879,25.314323846175686,101.22874907256123,101.22874907256123,0.04207018824207099,0.9852363800161393,22.177688598632812,28.077763794116322
9,"0131_[39168,15113]_part_4_2_.tif",0131,"[39168,15113]",0.002819102797135095,183.31219307036136,0.05768668681754089,0.9538488440543041,28.527414321899414,25.498890397009358,72.1392472060398,72.1392472060398,0.03683202268063352,0.9847348757738584,17.908689498901367,29.549087736726865
10,"0131_[47891,9800]_part_3_1_.tif",0131,"[47891,9800]",238.7008613019224,238.7008613019224,0.06591226213583898,0.9116584548097718,34.76193618774414,24.352262816920966,65.59743115681842,65.59743115681842,0.03546607743382686,0.9802541583798557,18.31675148010254,29.96193503019465
11,"0131_[50072,7868]_part_2_1_.tif",0131,"[50072,7868]",365.1048077039345,365.1048077039345,0.0830540063686737,0.9252353109079636,41.37907028198242,22.506627850856606,164.44358631654165,164.44358631654165,0.05756446812103222,0.9710316621177247,25.20755958557129,25.970634160924778
12,"0131_[40896,13825]_part_3_2_.tif",0131,"[40896,13825]",253.11978230789234,253.11929821606387,0.06685669871705362,0.9052412211594323,35.44004440307617,24.097550331910217,103.05474266993133,103.05474266993133,0.04319791186843781,0.981532751864176,23.10701560974121,28.000123851131722
13,"0131_[46740,17995]_part_3_2_.tif",0131,"[46740,17995]",110.0349039109331,110.03467293636976,0.04377927787482563,0.9670992357552822,22.028715133666992,27.715507332320705,24.048581320334247,24.048581320334247,0.02081267634850562,0.9866982658463767,10.966252326965332,34.31990954631097
14,"0131_[50731,8702]_part_3_2_.tif",0131,"[50731,8702]",233.78791013342985,233.78791013342985,0.06309707757714512,0.9562078223109208,32.21933364868164,24.442584107173353,139.91522011261608,139.91522011261608,0.049328510916737206,0.9848219023393691,24.753530502319336,26.67215394453855
15,"0131_[44467,14410]_part_1_2_.tif",0131,"[44467,14410]",167.63707610318394,167.63707610318394,0.05413485894928448,0.9053221799275436,28.301210403442383,25.887103001121503,93.79090600834748,93.79090600834748,0.04081697914939838,0.9842256543133988,20.085554122924805,28.409195107864313
16,"0131_[39373,13898]_part_2_1_.tif",0131,"[39373,13898]",234.30132862240825,234.30132862240825,0.06524257697124496,0.9132835829756676,34.19597244262695,24.43305719095861,95.10318119494583,95.10318119494583,0.04243908095266948,0.9788310340716398,21.4764461517334,28.348853223355896
17,"0131_[48485,17537]_part_3_2_.tif",0131,"[48485,17537]",178.76873368263023,178.76873368263023,0.055483477301502535,0.9485909732314807,28.19072151184082,25.60788787073989,76.1657645973036,76.1657645973036,0.036740167657266586,0.9838474195714233,18.31082534790039,29.313205589513828
18,"0131_[42242,13869]_part_3_1_.tif",0131,"[42242,13869]",207.59866439559684,207.59811933090577,0.06018741656661654,0.9654097733194882,31.567407608032227,24.95857052913948,46.73630537351403,46.73630537351403,0.02937313943020788,0.9878128626771608,14.641335487365723,31.434260911768543
19,"0131_[49577,17995]_part_1_2_.tif",0131,"[49577,17995]",313.3711425024693,313.37085077721713,0.07702300249358117,0.9137548094251661,40.1159782409668,23.17021892689231,130.38683212227735,130.38683212227735,0.050814376112708046,0.9804455254402162,25.580781936645508,26.97846699705587
